Component Name,Variants,Figma Import Notes
GlassCard,"LTR/Default | RTL/Mirror | Light/Blur15 | Dark/Blur15 | Gradient/Coral","Auto Layout: Vertical, Padding 16px, Corner Radius 24px, Background Blur sigma:15, Fill: rgba(255,255,255,0.8) or LinearGradient(#FF7F50→#FFFFFF,0.8), Border: 0.5px white@50%"
GlassButton,"LTR/Default | RTL/Mirror | Light/Small | Light/Medium | Light/Large | Dark/Small | Dark/Medium | Dark/Large | Pressed | Disabled | Loading | CoralGradient","Auto Layout: Horizontal, H:Center V:Center, Padding 14x20, Corner Radius 16px, Blur sigma:15, Icon+Text frame with 8px gap, States: hover opacity 0.9, pressed scale 0.98"
LanguageSwitchBar,"LTR/ZH-UG | RTL/UG-ZH | Light | Dark | Compact | Expanded","Auto Layout: Horizontal, Gap 12px, RTL variant reverses child order, Source Button + Swap Icon (rotate animation) + Target Button, Blur sigma:15"
ModeSegmentedControl,"LTR/4Tabs | RTL/4Tabs | Light | Dark | Text/Selected | Voice/Selected | Camera/Selected | Document/Selected","Auto Layout: Horizontal, Equal width tabs, Selected state: Coral fill + white text, Unselected: transparent + gray text, Corner Radius 12px, Indicator animation 200ms"
ChatBubble,"LTR/Left | LTR/Right | RTL/Left | RTL/Right | Light | Dark | WithAudio | WithActions","Auto Layout: Vertical, Padding 12x16, Corner Radius 16px (tail on sender side), Original Text + Translated Text + Action Icons Row, RTL mirrors bubble tail position"
DictSectionCard,"LTR/Basic | LTR/Sense | LTR/Examples | LTR/Related | RTL/Basic | RTL/Sense | RTL/Examples | RTL/Related | Light | Dark | Collapsed | Expanded","Auto Layout: Vertical, Header (Title + Expand Icon) + Content, Padding 16px, Corner Radius 20px, Blur sigma:15, Expandable with 300ms animation"
SplashScreen,"LTR | RTL | Light | Dark","Full screen gradient (#FF7F50→#FF6B6B), Centered Logo Container, Loading Text with fade animation, 3s auto-transition"
OnboardingScreen,"LTR/Page1 | LTR/Page2 | LTR/Page3 | RTL/Page1 | RTL/Page2 | RTL/Page3 | Light | Dark","PageView with GlassCard, Feature Icon + Title + Description, Page Indicator dots, Skip/Next/Start buttons, Swipe gesture enabled"
HomeScreen,"LTR | RTL | Light | Dark | TextMode | VoiceMode | CameraMode | DocumentMode","AppBar + LanguageSwitchBar + ModeSegmentedControl + TextField (multiline) + Action Button Row, Coral gradient background, Glass components"
TranslateResultScreen,"LTR | RTL | Light | Dark | WithFavorite | WithShare","Source GlassCard + Target GlassCard + Bottom Action Row, Each card: Title + Text + Action Icons (Read/Copy/Favorite/Share)"
ConversationScreen,"LTR | RTL | Light | Dark | Empty | WithMessages","ListView of ChatBubbles + Dual Mic Button Row at bottom, Empty state with hint text"
VoiceInputScreen,"LTR | RTL | Light | Dark | Ready | Listening | Processing","Coral gradient bg, Animated Mic Button (scale 1.0→1.5, 500ms, 3-layer ripple), Status Text, Real-time Text GlassCard, Start/Stop Button"
DictionaryHomeScreen,"LTR | RTL | Light | Dark | Empty | WithHistory | WithRecommend","Search TextField + Recommend Section (Chip grid) + Category Section (Chip grid) + History Section"
DictionaryDetailScreen,"LTR | RTL | Light | Dark | Basic | Full","Word Header (Text + Pronunciation + Actions) + Scrollable DictSectionCards (Basic/Sense/Professional/Examples/Related/Etymology)"
HistoryScreen,"LTR | RTL | Light | Dark | Empty | WithItems","Search TextField + ListView (each item: Source/Target preview + Timestamp + Actions), Swipe to delete"
SettingsScreen,"LTR | RTL | Light | Dark","Grouped sections with GlassCards: Language/Font/Theme/Privacy/About, Radio buttons, Toggle switches, Navigation rows"
LanguageSwitcherPage,"LTR | RTL | Light | Dark | ZH/Selected | UG/Selected","Language option cards with checkmark, Apply button triggers full app rebuild"
